case,run_id,seed,generation,elapsed_time_s,unique_evaluations_generation,unique_evaluations_cumulative,cache_hits_generation,cache_hits_cumulative,population_size,feasible_population_size,nondominated_size,archive_nondominated_size,best_loss,best_saidi
ieee33,ieee33_seed_99013,99013,1,1.8515887000248767,200,200,0,0,100,100,3,3,141.3635068475474,3.0120445489687504
ieee33,ieee33_seed_99013,99013,2,2.6314339000091422,97,297,100,100,100,100,4,4,141.3635068475474,3.0120445489687504
ieee33,ieee33_seed_99013,99013,3,3.3909630000125617,98,395,100,200,100,100,4,4,141.3635068475474,3.0120445489687504
ieee33,ieee33_seed_99013,99013,4,4.094242200022563,92,487,100,300,100,100,3,3,141.3635068475474,2.99902994334375
ieee33,ieee33_seed_99013,99013,5,4.760956100013573,88,575,100,400,100,100,5,5,140.25472282793797,2.99902994334375
ieee33,ieee33_seed_99013,99013,6,5.421903400012525,86,661,100,500,100,100,4,4,140.25472282793797,2.99902994334375
ieee33,ieee33_seed_99013,99013,7,6.104680800024653,84,745,100,600,100,100,4,4,140.25472282793797,2.99902994334375
ieee33,ieee33_seed_99013,99013,8,6.774689900019439,88,833,100,700,100,100,4,4,140.25472282793797,2.99902994334375
ieee33,ieee33_seed_99013,99013,9,7.380799200007459,76,909,100,800,100,100,5,5,140.15585561462427,2.99902994334375
ieee33,ieee33_seed_99013,99013,10,8.025498300004983,82,991,100,900,100,100,6,6,138.81946573409937,2.99902994334375
ieee33,ieee33_seed_99013,99013,11,8.635413400013931,78,1069,100,1000,100,100,3,3,138.81946573409937,2.99902994334375
ieee33,ieee33_seed_99013,99013,12,9.162801300000865,67,1136,100,1100,100,100,3,3,138.26747691143908,2.99902994334375
ieee33,ieee33_seed_99013,99013,13,9.788400100020226,78,1214,100,1200,100,100,3,3,138.26747691143908,2.99902994334375
ieee33,ieee33_seed_99013,99013,14,10.401228400005493,79,1293,100,1300,100,100,3,3,138.26747691143908,2.99902994334375
ieee33,ieee33_seed_99013,99013,15,10.967740500025684,69,1362,100,1400,100,100,3,3,138.26747691143908,2.99902994334375
ieee33,ieee33_seed_99013,99013,16,11.505915600020671,67,1429,100,1500,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_99013,99013,17,11.96267850001459,56,1485,100,1600,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_99013,99013,18,12.448278299998492,61,1546,100,1700,100,100,6,6,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_99013,99013,19,12.963380700006383,64,1610,100,1800,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_99013,99013,20,13.427505600004224,56,1666,100,1900,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_99013,99013,21,13.834499800024787,49,1715,100,2000,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_99013,99013,22,14.244737200002419,50,1765,100,2100,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_99013,99013,23,14.695373599999584,54,1819,100,2200,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_99013,99013,24,15.149702599999728,56,1875,100,2300,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_99013,99013,25,15.627789400023175,58,1933,100,2400,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_99013,99013,26,16.03827290001209,49,1982,100,2500,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_99013,99013,27,16.39437380002346,43,2025,100,2600,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_99013,99013,28,16.751043399999617,42,2067,100,2700,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_99013,99013,29,17.046268900012365,34,2101,100,2800,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_99013,99013,30,17.404752300004475,42,2143,100,2900,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_99013,99013,31,17.76320830002078,41,2184,100,3000,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_99013,99013,32,18.109393600025214,40,2224,100,3100,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_99013,99013,33,18.403346700011753,30,2254,100,3200,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_99013,99013,34,18.7670999999973,42,2296,100,3300,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_99013,99013,35,19.058854300004896,33,2329,100,3400,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_99013,99013,36,19.343037200014805,32,2361,100,3500,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_99013,99013,37,19.642560100008268,34,2395,100,3600,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_99013,99013,38,19.957200400007423,36,2431,100,3700,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_99013,99013,39,20.220151800021995,29,2460,100,3800,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_99013,99013,40,20.490445100003853,30,2490,100,3900,100,100,5,5,137.3403817568125,2.99902994334375
