case,run_id,seed,generation,elapsed_time_s,unique_evaluations_generation,unique_evaluations_cumulative,cache_hits_generation,cache_hits_cumulative,population_size,feasible_population_size,nondominated_size,archive_nondominated_size,best_loss,best_saidi
ieee33,ieee33_seed_10124,10124,1,1.8464946000021882,200,200,0,0,100,100,4,4,146.3668466010011,2.99902994334375
ieee33,ieee33_seed_10124,10124,2,2.5838190999929793,94,294,100,100,100,100,4,4,146.3668466010011,2.99902994334375
ieee33,ieee33_seed_10124,10124,3,3.310195800004294,93,387,100,200,100,100,4,4,145.3813650752307,2.99902994334375
ieee33,ieee33_seed_10124,10124,4,4.018928000004962,93,480,100,300,100,100,5,5,139.33393133817165,2.99902994334375
ieee33,ieee33_seed_10124,10124,5,4.739720800018404,94,574,100,400,100,100,2,2,139.15707296498272,2.99902994334375
ieee33,ieee33_seed_10124,10124,6,5.43625910000992,90,664,100,500,100,100,2,2,139.15707296498272,2.99902994334375
ieee33,ieee33_seed_10124,10124,7,6.061173399997642,80,744,100,600,100,100,2,2,139.15707296498272,2.99902994334375
ieee33,ieee33_seed_10124,10124,8,6.736858699994627,86,830,100,700,100,100,2,2,139.15707296498272,2.99902994334375
ieee33,ieee33_seed_10124,10124,9,7.328057600010652,77,907,100,800,100,100,2,2,139.15707296498272,2.99902994334375
ieee33,ieee33_seed_10124,10124,10,7.942331400001422,80,987,100,900,100,100,2,2,139.15707296498272,2.99902994334375
ieee33,ieee33_seed_10124,10124,11,8.540901200001827,77,1064,100,1000,100,100,2,2,139.15707296498272,2.99902994334375
ieee33,ieee33_seed_10124,10124,12,9.12653519999003,75,1139,100,1100,100,100,2,2,139.15707296498272,2.99902994334375
ieee33,ieee33_seed_10124,10124,13,9.6803501000104,71,1210,100,1200,100,100,2,2,139.15707296498272,2.99902994334375
ieee33,ieee33_seed_10124,10124,14,10.275695099990116,75,1285,100,1300,100,100,2,2,139.15707296498272,2.99902994334375
ieee33,ieee33_seed_10124,10124,15,10.832090000010794,71,1356,100,1400,100,100,2,2,139.15707296498272,2.99902994334375
ieee33,ieee33_seed_10124,10124,16,11.353129299997818,66,1422,100,1500,100,100,2,2,139.15707296498272,2.99902994334375
ieee33,ieee33_seed_10124,10124,17,11.831583199993474,61,1483,100,1600,100,100,2,2,139.15707296498272,2.99902994334375
ieee33,ieee33_seed_10124,10124,18,12.342830600013258,65,1548,100,1700,100,100,2,2,139.15707296498272,2.99902994334375
ieee33,ieee33_seed_10124,10124,19,12.872666800016304,66,1614,100,1800,100,100,3,3,138.6425908856557,2.99902994334375
ieee33,ieee33_seed_10124,10124,20,13.280185900017386,50,1664,100,1900,100,100,3,3,138.6425908856557,2.99902994334375
ieee33,ieee33_seed_10124,10124,21,13.75903849999304,59,1723,100,2000,100,100,3,3,138.6425908856557,2.99902994334375
ieee33,ieee33_seed_10124,10124,22,14.269288300012704,62,1785,100,2100,100,100,3,3,138.6425908856557,2.99902994334375
ieee33,ieee33_seed_10124,10124,23,14.743262600008165,58,1843,100,2200,100,100,3,3,138.6425908856557,2.99902994334375
ieee33,ieee33_seed_10124,10124,24,15.152834700013045,49,1892,100,2300,100,100,4,4,137.97384885633065,2.99902994334375
ieee33,ieee33_seed_10124,10124,25,15.593441500008339,55,1947,100,2400,100,100,4,4,137.97384885633065,2.99902994334375
ieee33,ieee33_seed_10124,10124,26,15.996273600001587,50,1997,100,2500,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_10124,10124,27,16.402710099995602,49,2046,100,2600,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_10124,10124,28,16.767315200006124,44,2090,100,2700,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_10124,10124,29,17.111189100018237,40,2130,100,2800,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_10124,10124,30,17.48245529999258,45,2175,100,2900,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_10124,10124,31,17.84094880000339,43,2218,100,3000,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_10124,10124,32,18.256120400008513,45,2263,100,3100,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_10124,10124,33,18.570980199991027,36,2299,100,3200,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_10124,10124,34,18.86920340001234,33,2332,100,3300,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_10124,10124,35,19.153518800012534,33,2365,100,3400,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_10124,10124,36,19.464083800005028,36,2401,100,3500,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_10124,10124,37,19.728569400002016,30,2431,100,3600,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_10124,10124,38,19.980359900015173,28,2459,100,3700,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_10124,10124,39,20.248777200002223,29,2488,100,3800,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_10124,10124,40,20.50706520001404,29,2517,100,3900,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_10124,10124,41,20.803650799993193,33,2550,100,4000,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_10124,10124,42,21.07242199999746,30,2580,100,4100,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_10124,10124,43,21.291741099994397,23,2603,100,4200,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_10124,10124,44,21.536483900010353,27,2630,100,4300,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_10124,10124,45,21.776092899992364,26,2656,100,4400,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_10124,10124,46,21.958577899989905,18,2674,100,4500,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_10124,10124,47,22.159559299994726,20,2694,100,4600,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_10124,10124,48,22.329362399992533,16,2710,100,4700,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_10124,10124,49,22.562988099991344,24,2734,100,4800,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_10124,10124,50,22.745885700016515,17,2751,100,4900,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_10124,10124,51,22.91541790001793,16,2767,100,5000,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_10124,10124,52,23.146013599995058,24,2791,100,5100,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_10124,10124,53,23.32611349999206,18,2809,100,5200,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_10124,10124,54,23.509999600006267,18,2827,100,5300,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_10124,10124,55,23.684159099997487,16,2843,100,5400,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_10124,10124,56,23.906798600015463,23,2866,100,5500,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_10124,10124,57,24.093541100010043,19,2885,100,5600,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_10124,10124,58,24.28914390000864,20,2905,100,5700,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_10124,10124,59,24.402657500002533,9,2914,100,5800,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_10124,10124,60,24.552277900016634,14,2928,100,5900,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_10124,10124,61,24.722655199992005,16,2944,100,6000,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_10124,10124,62,24.907115900015924,18,2962,100,6100,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_10124,10124,63,25.089624699990964,16,2978,100,6200,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_10124,10124,64,25.311947900016094,22,3000,100,6300,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_10124,10124,65,25.47150210000109,14,3014,100,6400,100,100,5,5,137.3403817568125,2.99902994334375
