case,method,population,generations,seed,reliability_objective,started_at,finished_at,elapsed_seconds,total_candidate_evaluations,unique_evaluations,cache_hits,feasible_count,operationally_feasible_count,pareto_size,best_losses_open_switches,best_losses_kw,best_losses_saidi,best_saidi_open_switches,best_saidi_losses_kw,best_saidi,v_min_limit,v_max_limit,output_dir,all_csv,pareto_csv,command,warnings,row_type,pareto_operationally_feasible,best_compromise_open_switches,best_compromise_losses_kw,best_compromise_saidi,operational_percent
ieee33,evolutionary,100.0,100.0,1234,saidi,2026-05-02T08:02:03,2026-05-02T08:04:09,126.237473,13215,3315,9900,3315,2117,5,"7,9,14,32,37",137.3403817568125,3.355444214531249,"7,10,13,27,36",145.2510014456555,2.99902994334375,0.9,1.05,removed_for_public_release,removed_for_public_release,removed_for_public_release,removed_for_public_release,loading_limits_not_available;voltage_below_limit,seed,,,,,
ieee33,evolutionary,100.0,100.0,2026,saidi,2026-05-02T08:04:20,2026-05-02T08:06:07,107.206541,13274,3374,9900,3374,2165,5,"7,9,14,32,37",137.3403817568125,3.355444214531249,"7,10,13,27,36",145.2510014456555,2.99902994334375,0.9,1.05,removed_for_public_release,removed_for_public_release,removed_for_public_release,removed_for_public_release,loading_limits_not_available;voltage_below_limit,seed,,,,,
ieee33,evolutionary,100.0,100.0,27182,saidi,2026-05-02T08:08:32,2026-05-02T08:10:39,126.700712,13165,3265,9900,3265,2082,5,"7,9,14,32,37",137.3403817568125,3.355444214531249,"7,10,13,27,36",145.2510014456555,2.99902994334375,0.9,1.05,removed_for_public_release,removed_for_public_release,removed_for_public_release,removed_for_public_release,loading_limits_not_available;voltage_below_limit,seed,,,,,
ieee33,evolutionary,100.0,100.0,31415,saidi,2026-05-02T08:06:21,2026-05-02T08:08:21,119.956483,13257,3357,9900,3357,2140,5,"7,9,14,32,37",137.3403817568125,3.355444214531249,"7,10,13,27,36",145.2510014456555,2.99902994334375,0.9,1.05,removed_for_public_release,removed_for_public_release,removed_for_public_release,removed_for_public_release,loading_limits_not_available;voltage_below_limit,seed,,,,,
ieee33,evolutionary,100.0,100.0,4242,saidi,2026-05-02T08:10:53,2026-05-02T08:12:47,113.847924,13020,3120,9900,3120,2003,5,"7,9,14,32,37",137.3403817568125,3.355444214531249,"7,10,14,27,36",142.0958063322025,2.99902994334375,0.9,1.05,removed_for_public_release,removed_for_public_release,removed_for_public_release,removed_for_public_release,loading_limits_not_available;voltage_below_limit,seed,,,,,
real_system_anonymized,evolutionary,80.0,80.0,1234,saidi,2026-05-02T08:13:14,2026-05-02T08:19:39,385.005133,12536,6216,6320,6216,2759,53,"5,9,19,25,28,31,34,40,43,45,47,83,87,91,109,110,113,115,119,121,122,129",841.4179048681929,4.806722503424736,"5,8,19,23,25,29,31,40,45,46,86,87,92,99,105,113,115,116,120,122,130,131",887.2559365783584,4.352161694025865,0.9,1.05,removed_for_public_release,removed_for_public_release,removed_for_public_release,removed_for_public_release,loading_limits_not_available;voltage_below_limit,seed,,,,,
real_system_anonymized,evolutionary,80.0,80.0,2026,saidi,2026-05-02T08:19:51,2026-05-02T08:24:08,257.003097,12544,6224,6320,6224,2780,40,"5,9,19,24,25,29,34,40,42,45,47,84,88,91,109,110,113,114,115,119,122,129",842.3094874645287,4.683603257563443,"5,6,19,23,25,29,31,40,45,46,86,91,99,106,113,115,116,120,122,128,130,131",927.7354470499354,4.339299250040632,0.9,1.05,removed_for_public_release,removed_for_public_release,removed_for_public_release,removed_for_public_release,loading_limits_not_available;voltage_below_limit,seed,,,,,
real_system_anonymized,evolutionary,80.0,80.0,31415,saidi,2026-05-02T08:24:24,2026-05-02T08:26:40,135.899535,12546,6226,6320,6226,2735,37,"5,9,19,25,29,31,34,40,41,42,64,83,87,90,109,110,113,115,119,121,129,130",845.4452418595931,5.23500620632009,"5,8,16,19,23,25,28,30,40,41,42,44,45,86,92,106,113,114,115,128,129,131",904.3496414903498,4.344668513315841,0.9,1.05,removed_for_public_release,removed_for_public_release,removed_for_public_release,removed_for_public_release,loading_limits_not_available;voltage_below_limit,seed,,,,,
