case,run_id,seed,generation,elapsed_time_s,unique_evaluations_generation,unique_evaluations_cumulative,cache_hits_generation,cache_hits_cumulative,population_size,feasible_population_size,nondominated_size,archive_nondominated_size,best_loss,best_saidi
ieee33,ieee33_seed_27182,27182,1,1.8465580999909434,200,200,0,0,100,100,2,2,142.4026566022894,3.10835263059375
ieee33,ieee33_seed_27182,27182,2,2.586165799992159,95,295,100,100,100,100,3,3,142.4026566022894,3.0120445489687495
ieee33,ieee33_seed_27182,27182,3,3.3225714000000153,95,390,100,200,100,100,3,3,142.4026566022894,3.0120445489687495
ieee33,ieee33_seed_27182,27182,4,4.085552500007907,96,486,100,300,100,100,3,3,142.4026566022894,3.0120445489687495
ieee33,ieee33_seed_27182,27182,5,4.829259799997089,96,582,100,400,100,100,3,3,141.8763650083675,3.0026554406249994
ieee33,ieee33_seed_27182,27182,6,5.507600899989484,88,670,100,500,100,100,3,3,140.54837456437653,3.0026554406249994
ieee33,ieee33_seed_27182,27182,7,6.237232999992557,94,764,100,600,100,100,2,2,140.44874600872205,2.99902994334375
ieee33,ieee33_seed_27182,27182,8,6.87007609999273,82,846,100,700,100,100,3,3,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_27182,27182,9,7.511557099991478,83,929,100,800,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_27182,27182,10,8.143939500005217,76,1005,100,900,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_27182,27182,11,8.754532199993264,76,1081,100,1000,100,100,5,5,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_27182,27182,12,9.347668500005966,75,1156,100,1100,100,100,5,5,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_27182,27182,13,9.984717899991665,81,1237,100,1200,100,100,5,5,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_27182,27182,14,10.557079299993347,72,1309,100,1300,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_27182,27182,15,11.125758000009228,71,1380,100,1400,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_27182,27182,16,11.687415699998382,70,1450,100,1500,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_27182,27182,17,12.265492600010475,71,1521,100,1600,100,100,5,5,137.3403817568125,2.99902994334375
