case,run_id,seed,generation,elapsed_time_s,unique_evaluations_generation,unique_evaluations_cumulative,cache_hits_generation,cache_hits_cumulative,population_size,feasible_population_size,nondominated_size,archive_nondominated_size,best_loss,best_saidi
ieee33,ieee33_seed_4242,4242,1,1.8564943000092171,200,200,0,0,100,100,1,1,141.08221759042345,3.00553724615625
ieee33,ieee33_seed_4242,4242,2,2.652548799989745,100,300,100,100,100,100,2,2,141.08221759042345,2.99902994334375
ieee33,ieee33_seed_4242,4242,3,3.3627709000138566,91,391,100,200,100,100,3,3,140.54837456437653,2.99902994334375
ieee33,ieee33_seed_4242,4242,4,4.069807699997909,92,483,100,300,100,100,3,3,140.54837456437653,2.99902994334375
ieee33,ieee33_seed_4242,4242,5,4.764054600003874,91,574,100,400,100,100,3,3,140.54837456437653,2.99902994334375
ieee33,ieee33_seed_4242,4242,6,5.417384000000311,85,659,100,500,100,100,3,3,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_4242,4242,7,6.067768900014926,84,743,100,600,100,100,3,3,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_4242,4242,8,6.729727700003423,86,829,100,700,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_4242,4242,9,7.2960615000047255,73,902,100,800,100,100,5,5,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_4242,4242,10,7.869060500001069,72,974,100,900,100,100,5,5,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_4242,4242,11,8.462896000011824,77,1051,100,1000,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_4242,4242,12,9.0155553999939,71,1122,100,1100,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_4242,4242,13,9.617008900007932,76,1198,100,1200,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_4242,4242,14,10.067836900008842,58,1256,100,1300,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_4242,4242,15,10.540805299999192,61,1317,100,1400,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_4242,4242,16,11.077512899995781,69,1386,100,1500,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,17,11.540315699996427,59,1445,100,1600,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,18,11.989821199997095,57,1502,100,1700,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,19,12.409084699989762,52,1554,100,1800,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,20,12.74762290000217,42,1596,100,1900,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,21,13.102217000006931,45,1641,100,2000,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,22,13.592929800011916,62,1703,100,2100,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,23,14.022793000011006,54,1757,100,2200,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,24,14.373119199997745,43,1800,100,2300,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,25,14.7647976000153,49,1849,100,2400,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,26,15.184906100010267,52,1901,100,2500,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,27,15.492901799996616,38,1939,100,2600,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,28,15.852844400011236,44,1983,100,2700,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,29,16.151123399991775,36,2019,100,2800,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,30,16.436858900007792,35,2054,100,2900,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,31,16.70365869998932,32,2086,100,3000,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,32,16.995896200009156,34,2120,100,3100,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,33,17.275674800010165,32,2152,100,3200,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,34,17.510070099990116,27,2179,100,3300,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,35,17.826510300015798,34,2213,100,3400,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,36,18.07045990001643,28,2241,100,3500,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,37,18.29261510001379,26,2267,100,3600,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,38,18.551055799995083,31,2298,100,3700,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,39,18.790797399997246,28,2326,100,3800,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,40,19.00222429999849,24,2350,100,3900,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,41,19.239431900001364,27,2377,100,4000,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,42,19.504303699999582,31,2408,100,4100,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,43,19.73757040000055,27,2435,100,4200,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,44,19.954716800013557,25,2460,100,4300,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,45,20.160415499994997,23,2483,100,4400,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,46,20.33869410000625,20,2503,100,4500,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,47,20.580196199996863,25,2528,100,4600,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,48,20.792877300002147,23,2551,100,4700,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,49,20.97126950000529,19,2570,100,4800,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,50,21.189494199992623,24,2594,100,4900,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,51,21.360255300009158,18,2612,100,5000,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,52,21.540453299996443,20,2632,100,5100,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,53,21.715227400010917,19,2651,100,5200,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,54,21.885358300001826,18,2669,100,5300,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,55,22.060895600006916,19,2688,100,5400,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,56,22.202630100015085,13,2701,100,5500,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,57,22.39699800001108,20,2721,100,5600,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,58,22.579113499989035,20,2741,100,5700,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,59,22.71842670001206,14,2755,100,5800,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,60,22.84793419999187,13,2768,100,5900,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,61,23.002692600013688,15,2783,100,6000,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,62,23.088068899989594,7,2790,100,6100,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,63,23.237770200008526,15,2805,100,6200,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,64,23.39850100001786,17,2822,100,6300,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,65,23.51604230000521,9,2831,100,6400,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,66,23.637486499996157,12,2843,100,6500,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,67,23.75748920001206,11,2854,100,6600,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,68,23.903885900013847,15,2869,100,6700,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,69,23.990089400002034,7,2876,100,6800,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,70,24.112817899993388,12,2888,100,6900,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,71,24.269442099990556,16,2904,100,7000,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,72,24.38855900001363,11,2915,100,7100,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,73,24.54112440001336,16,2931,100,7200,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,74,24.651902999990853,10,2941,100,7300,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,75,24.759201000008034,10,2951,100,7400,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,76,24.823247599997558,4,2955,100,7500,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_4242,4242,77,24.916633200016804,8,2963,100,7600,100,100,5,5,137.3403817568125,2.99902994334375
