case,run_id,seed,generation,elapsed_time_s,unique_evaluations_generation,unique_evaluations_cumulative,cache_hits_generation,cache_hits_cumulative,population_size,feasible_population_size,nondominated_size,archive_nondominated_size,best_loss,best_saidi
ieee33,ieee33_seed_77891,77891,1,1.8965042000054382,200,200,0,0,100,100,3,3,142.94866384286917,3.0055372461562495
ieee33,ieee33_seed_77891,77891,2,2.6668653000087943,98,298,100,100,100,100,3,3,142.45505408588514,3.0055372461562495
ieee33,ieee33_seed_77891,77891,3,3.3675615999964066,91,389,100,200,100,100,3,3,142.45505408588514,3.0055372461562495
ieee33,ieee33_seed_77891,77891,4,4.066545700014103,91,480,100,300,100,100,3,3,140.54837456437653,3.0055372461562495
ieee33,ieee33_seed_77891,77891,5,4.812283700011903,93,573,100,400,100,100,1,1,139.15707296498272,3.0055372461562495
ieee33,ieee33_seed_77891,77891,6,5.489523199998075,87,660,100,500,100,100,1,1,139.15707296498272,3.0055372461562495
ieee33,ieee33_seed_77891,77891,7,6.155716700013727,87,747,100,600,100,100,2,2,138.26747691143908,3.0055372461562495
ieee33,ieee33_seed_77891,77891,8,6.805431999993743,84,831,100,700,100,100,2,2,138.26747691143908,3.0055372461562495
ieee33,ieee33_seed_77891,77891,9,7.48102989999461,87,918,100,800,100,100,2,2,138.26747691143908,3.0055372461562495
ieee33,ieee33_seed_77891,77891,10,8.075390200014226,78,996,100,900,100,100,3,3,138.26747691143908,2.99902994334375
ieee33,ieee33_seed_77891,77891,11,8.64505660001305,72,1068,100,1000,100,100,3,3,138.26747691143908,2.99902994334375
ieee33,ieee33_seed_77891,77891,12,9.274748800002271,78,1146,100,1100,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_77891,77891,13,9.804080100002466,68,1214,100,1200,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_77891,77891,14,10.336342099995818,69,1283,100,1300,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_77891,77891,15,10.8954148000048,71,1354,100,1400,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_77891,77891,16,11.434427500003949,69,1423,100,1500,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_77891,77891,17,11.896470000006957,59,1482,100,1600,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_77891,77891,18,12.429025399993407,67,1549,100,1700,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_77891,77891,19,12.927743600012036,61,1610,100,1800,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,20,13.451200800016522,66,1676,100,1900,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,21,13.862931500014383,52,1728,100,2000,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,22,14.324075400014408,58,1786,100,2100,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,23,14.778228700015461,55,1841,100,2200,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,24,15.225804000016069,56,1897,100,2300,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,25,15.664475199999288,54,1951,100,2400,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,26,16.047891099995468,48,1999,100,2500,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,27,16.532102900004247,55,2054,100,2600,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,28,16.93318449999788,49,2103,100,2700,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,29,17.255785499990452,39,2142,100,2800,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,30,17.50305749999825,29,2171,100,2900,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,31,17.80771170000662,37,2208,100,3000,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,32,18.085398199997144,33,2241,100,3100,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,33,18.39971019999939,38,2279,100,3200,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,34,18.716519900015555,35,2314,100,3300,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,35,19.029315799998585,38,2352,100,3400,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,36,19.30636640000739,33,2385,100,3500,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,37,19.58041759999469,33,2418,100,3600,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,38,19.853526999999303,32,2450,100,3700,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,39,20.069279799994547,25,2475,100,3800,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,40,20.319314399996074,29,2504,100,3900,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,41,20.55883840000024,28,2532,100,4000,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,42,20.76515059999656,24,2556,100,4100,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,43,21.032337800017558,31,2587,100,4200,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,44,21.25191540000378,25,2612,100,4300,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,45,21.466429599997355,24,2636,100,4400,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,46,21.63017600000603,18,2654,100,4500,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,47,21.842130100005306,24,2678,100,4600,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,48,22.019485700002406,20,2698,100,4700,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,49,22.178453200001968,17,2715,100,4800,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,50,22.396188200014876,24,2739,100,4900,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,51,22.595501000003424,21,2760,100,5000,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,52,22.715398300002562,12,2772,100,5100,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,53,22.867055800015805,16,2788,100,5200,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,54,23.058897900016746,21,2809,100,5300,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,55,23.176478400011547,11,2820,100,5400,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,56,23.296987700014142,12,2832,100,5500,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,57,23.44575869999244,15,2847,100,5600,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,58,23.586077000014484,14,2861,100,5700,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,59,23.722677400015527,14,2875,100,5800,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,60,23.87125220001326,16,2891,100,5900,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,61,23.980646000010893,10,2901,100,6000,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,62,24.095470900007058,11,2912,100,6100,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,63,24.274431900004856,19,2931,100,6200,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,64,24.450797199999215,19,2950,100,6300,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,65,24.6013193000108,15,2965,100,6400,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,66,24.721953300002497,11,2976,100,6500,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,67,24.85290349999559,13,2989,100,6600,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,68,24.99334360001376,14,3003,100,6700,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,69,25.139864199998556,14,3017,100,6800,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,70,25.281956299993908,14,3031,100,6900,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,71,25.383469799999148,9,3040,100,7000,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,72,25.503974699997343,12,3052,100,7100,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,73,25.633086999994703,13,3065,100,7200,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,74,25.757285700005013,12,3077,100,7300,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,75,25.835458599991398,6,3083,100,7400,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,76,25.94364830001723,10,3093,100,7500,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,77,26.084137300000293,14,3107,100,7600,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,78,26.19760949999909,10,3117,100,7700,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,79,26.29209699999774,8,3125,100,7800,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,80,26.358436700014863,4,3129,100,7900,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,81,26.45783269999083,8,3137,100,8000,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,82,26.574108500004513,10,3147,100,8100,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_77891,77891,83,26.659364199993433,6,3153,100,8200,100,100,5,5,137.3403817568125,2.99902994334375
