case,open_switches,radial,connected,converged,opendss_converged,electrically_solved,losses_kw,min_voltage_pu,vmin_pu,max_voltage_pu,vmax_pu,v_min_limit,v_max_limit,voltage_feasible,saidi_h_user_year,saifi_int_user_year,ens_mwh_year,objective_reliability,objective_reliability_name,topologically_feasible,max_loading_percent,loading_feasible,loading_check_available,all_loads_served,operationally_feasible,feasible,infeasibility_reasons,message,seed,population,generations,method,source_seed_dir,source_file
real_system_anonymized,"5,9,19,25,28,31,34,40,43,45,47,83,87,91,109,110,113,115,119,121,122,129",True,True,True,True,True,841.4179048681929,0.9178773514518116,0.9178773514518116,0.992222969679854,0.992222969679854,0.9,1.05,True,4.806722503424736,13.136710859318768,99.90309669199998,4.806722503424736,saidi,True,,,False,True,True,True,loading_limits_not_available,ok,1234,80,80,evolutionary,removed_for_public_release,removed_for_public_release
real_system_anonymized,"5,9,19,25,29,31,34,40,43,45,47,83,87,92,100,109,110,113,115,119,121,122",True,True,True,True,True,841.8250345848405,0.9178775990163878,0.9178775990163878,0.9922232366757237,0.9922232366757237,0.9,1.05,True,4.790172938772667,13.091481111704477,99.65189902399996,4.790172938772667,saidi,True,,,False,True,True,True,loading_limits_not_available,ok,1234,80,80,evolutionary,removed_for_public_release,removed_for_public_release
real_system_anonymized,"5,9,19,25,29,34,40,43,45,47,83,87,92,100,109,110,113,114,115,119,121,122",True,True,True,True,True,841.8250345848405,0.9178775990163878,0.9178775990163878,0.9922232366757237,0.9922232366757237,0.9,1.05,True,4.790172938772667,13.091481111704477,99.65189902399996,4.790172938772667,saidi,True,,,False,True,True,True,loading_limits_not_available,ok,1234,80,80,evolutionary,removed_for_public_release,removed_for_public_release
real_system_anonymized,"5,9,19,24,25,28,31,34,40,42,45,47,83,87,91,110,113,115,119,122,129,131",True,True,True,True,True,841.8503296941734,0.917825107980558,0.917825107980558,0.9922233064023848,0.9922233064023848,0.9,1.05,True,4.787097506327056,13.083075994334672,99.58439047399996,4.787097506327056,saidi,True,,,False,True,True,True,loading_limits_not_available,ok,1234,80,80,evolutionary,removed_for_public_release,removed_for_public_release
real_system_anonymized,"5,9,19,24,25,28,34,40,42,45,47,83,87,91,110,113,114,115,119,122,129,131",True,True,True,True,True,841.8503296944141,0.917825107980354,0.917825107980354,0.9922233064023844,0.9922233064023844,0.9,1.05,True,4.787063523648099,13.082983120109592,99.58439047399996,4.787063523648099,saidi,True,,,False,True,True,True,loading_limits_not_available,ok,1234,80,80,evolutionary,removed_for_public_release,removed_for_public_release
real_system_anonymized,"5,9,19,25,29,31,34,40,43,45,47,83,87,92,100,110,113,115,119,121,122,131",True,True,True,True,True,841.9629617960201,0.9178775381373244,0.9178775381373244,0.9922231710257824,0.9922231710257824,0.9,1.05,True,4.785993069260953,13.08005758201955,99.60605907199997,4.785993069260953,saidi,True,,,False,True,True,True,loading_limits_not_available,ok,1234,80,80,evolutionary,removed_for_public_release,removed_for_public_release
real_system_anonymized,"5,9,19,24,25,29,34,40,43,45,47,83,87,91,99,109,110,113,114,115,119,122",True,True,True,True,True,842.2228037667235,0.9177407524857444,0.9177407524857444,0.9922242910573492,0.9922242910573492,0.9,1.05,True,4.776460927813508,13.05400636188442,99.39997687399998,4.776460927813508,saidi,True,,,False,True,True,True,loading_limits_not_available,ok,1234,80,80,evolutionary,removed_for_public_release,removed_for_public_release
real_system_anonymized,"5,9,19,24,25,29,31,34,40,43,45,47,84,88,91,109,110,113,115,119,122,129",True,True,True,True,True,842.2686520014511,0.9177425665866268,0.9177425665866268,0.9922262303545216,0.9922262303545216,0.9,1.05,True,4.683603257563443,12.800227541851449,98.59448461399998,4.683603257563443,saidi,True,,,False,True,True,True,loading_limits_not_available,ok,1234,80,80,evolutionary,removed_for_public_release,removed_for_public_release
real_system_anonymized,"5,9,19,24,25,29,31,34,40,43,45,47,84,88,91,110,113,115,119,122,129,131",True,True,True,True,True,842.4065759411455,0.917742505139318,0.917742505139318,0.992226164711906,0.992226164711906,0.9,1.05,True,4.679423388051729,12.788804012166525,98.54864466199996,4.679423388051729,saidi,True,,,False,True,True,True,loading_limits_not_available,ok,1234,80,80,evolutionary,removed_for_public_release,removed_for_public_release
real_system_anonymized,"5,9,19,24,25,29,34,40,42,45,47,85,88,91,109,110,113,114,115,119,122,129",True,True,True,True,True,842.9684076214456,0.916872064272939,0.916872064272939,0.992226779250773,0.992226779250773,0.9,1.05,True,4.675600336669064,12.778355661844946,98.52355124,4.675600336669064,saidi,True,,,False,True,True,True,loading_limits_not_available,ok,2026,80,80,evolutionary,removed_for_public_release,removed_for_public_release
