seed_dir,seed,runtime_s,unique_evaluations,cache_hits,final_pareto_size,min_loss,min_loss_switches,min_saidi,min_saidi_switches,compromise_loss,compromise_saidi,compromise_switches,hypervolume,igd,spacing,benchmark_recovery_evaluated,benchmark_recovery_pareto,benchmark_recovery_min_loss
seed_10124,10124,30.235995,3373,9900,5,137.3403817568125,"7,9,14,32,37",2.99902994334375,"7,10,14,27,36",137.63400755669326,3.01855185178125,"7,9,14,28,32",1.0153445202052596,0.0,0.3811387589030929,True,True,True
seed_11235,11235,31.794917,3466,9900,5,137.3403817568125,"7,9,14,32,37",2.99902994334375,"7,10,14,27,36",137.63400755669326,3.01855185178125,"7,9,14,28,32",1.0153445202052596,0.0,0.3811387589030929,True,True,True
seed_1234,1234,34.982314,3315,9900,5,137.3403817568125,"7,9,14,32,37",2.99902994334375,"7,10,14,27,36",137.63400755669326,3.01855185178125,"7,9,14,28,32",1.0153445202052596,0.0,0.3811387589030929,True,True,True
seed_13579,13579,29.903749,3273,9900,5,137.3403817568125,"7,9,14,32,37",2.99902994334375,"7,10,14,27,36",137.63400755669326,3.01855185178125,"7,9,14,28,32",1.0153445202052596,0.0,0.3811387589030929,True,True,True
seed_2026,2026,33.50556,3374,9900,5,137.3403817568125,"7,9,14,32,37",2.99902994334375,"7,10,14,27,36",137.63400755669326,3.01855185178125,"7,9,14,28,32",1.0153445202052596,0.0,0.3811387589030929,True,True,True
seed_21235,21235,31.126725,3415,9900,5,137.3403817568125,"7,9,14,32,37",2.99902994334375,"7,10,14,27,36",137.63400755669326,3.01855185178125,"7,9,14,28,32",1.0153445202052596,0.0,0.3811387589030929,True,True,True
seed_22346,22346,28.773938,3253,9900,5,137.3403817568125,"7,9,14,32,37",2.99902994334375,"7,10,14,27,36",137.63400755669326,3.01855185178125,"7,9,14,28,32",1.0153445202052596,0.0,0.3811387589030929,True,True,True
seed_24680,24680,32.398138,3471,9900,5,137.3403817568125,"7,9,14,32,37",2.99902994334375,"7,10,14,27,36",137.63400755669326,3.01855185178125,"7,9,14,28,32",1.0153445202052596,0.0,0.3811387589030929,True,True,True
seed_27182,27182,31.109363,3265,9900,5,137.3403817568125,"7,9,14,32,37",2.99902994334375,"7,10,14,27,36",137.63400755669326,3.01855185178125,"7,9,14,28,32",1.0153445202052596,0.0,0.3811387589030929,True,True,True
seed_31415,31415,36.842325,3357,9900,5,137.3403817568125,"7,9,14,32,37",2.99902994334375,"7,10,14,27,36",137.63400755669326,3.01855185178125,"7,9,14,28,32",1.0153445202052596,0.0,0.3811387589030929,True,True,True
seed_32346,32346,30.02618,3333,9900,5,137.3403817568125,"7,9,14,32,37",2.99902994334375,"7,10,14,27,36",137.63400755669326,3.01855185178125,"7,9,14,28,32",1.0153445202052596,0.0,0.3811387589030929,True,True,True
seed_33457,33457,33.901457,3519,9900,5,137.3403817568125,"7,9,14,32,37",2.99902994334375,"7,10,14,27,36",137.63400755669326,3.01855185178125,"7,9,14,28,32",1.0153445202052596,0.0,0.3811387589030929,True,True,True
seed_4242,4242,27.244871,3120,9900,5,137.3403817568125,"7,9,14,32,37",2.99902994334375,"7,10,14,27,36",137.63400755669326,3.01855185178125,"7,9,14,28,32",1.0153445202052596,0.0,0.3811387589030929,True,True,True
seed_44568,44568,35.723885,3501,9900,5,137.3403817568125,"7,9,14,32,37",2.99902994334375,"7,10,14,27,36",137.63400755669326,3.01855185178125,"7,9,14,28,32",1.0153445202052596,0.0,0.3811387589030929,True,True,True
seed_55679,55679,30.504266,3333,9900,5,137.3403817568125,"7,9,14,32,37",2.99902994334375,"7,10,14,27,36",137.63400755669326,3.01855185178125,"7,9,14,28,32",1.0153445202052596,0.0,0.3811387589030929,True,True,True
seed_66780,66780,32.689149,3360,9900,5,137.3403817568125,"7,9,14,32,37",2.99902994334375,"7,10,14,27,36",137.63400755669326,3.01855185178125,"7,9,14,28,32",1.0153445202052596,0.0,0.3811387589030929,True,True,True
seed_77891,77891,28.345448,3261,9900,5,137.3403817568125,"7,9,14,32,37",2.99902994334375,"7,10,14,27,36",137.63400755669326,3.01855185178125,"7,9,14,28,32",1.0153445202052596,0.0,0.3811387589030929,True,True,True
seed_8675,8675,30.102243,3307,9900,5,137.3403817568125,"7,9,14,32,37",2.99902994334375,"7,10,14,27,36",137.63400755669326,3.01855185178125,"7,9,14,28,32",1.0153445202052596,0.0,0.3811387589030929,True,True,True
seed_88902,88902,33.118614,3462,9900,5,137.3403817568125,"7,9,14,32,37",2.99902994334375,"7,10,14,27,36",137.63400755669326,3.01855185178125,"7,9,14,28,32",1.0153445202052596,0.0,0.3811387589030929,True,True,True
seed_99013,99013,29.835626,3271,9900,5,137.3403817568125,"7,9,14,32,37",2.99902994334375,"7,10,14,27,36",137.63400755669326,3.01855185178125,"7,9,14,28,32",1.0153445202052596,0.0,0.3811387589030929,True,True,True
