case,run_id,seed,generation,elapsed_time_s,unique_evaluations_generation,unique_evaluations_cumulative,cache_hits_generation,cache_hits_cumulative,population_size,feasible_population_size,nondominated_size,archive_nondominated_size,best_loss,best_saidi
ieee33,ieee33_seed_31415,31415,1,1.8738938000169583,200,200,0,0,100,100,1,1,146.13099705967488,3.0309157271249996
ieee33,ieee33_seed_31415,31415,2,2.6477736000088044,97,297,100,100,100,100,2,2,143.2059018612266,3.0309157271249996
ieee33,ieee33_seed_31415,31415,3,3.3971689000027254,97,394,100,200,100,100,4,4,140.96954644265145,3.01855185178125
ieee33,ieee33_seed_31415,31415,4,4.149139000015566,96,490,100,300,100,100,4,4,140.96954644265145,3.01855185178125
ieee33,ieee33_seed_31415,31415,5,4.83902310000849,89,579,100,400,100,100,5,5,140.96954644265145,3.0179011214999996
ieee33,ieee33_seed_31415,31415,6,5.5312951000232715,90,669,100,500,100,100,6,6,140.96954644265145,3.0179011214999996
ieee33,ieee33_seed_31415,31415,7,6.183967300021322,84,753,100,600,100,100,4,4,140.96954644265145,3.0055372461562495
ieee33,ieee33_seed_31415,31415,8,6.840940499998396,83,836,100,700,100,100,2,2,138.26747691143908,3.0055372461562495
ieee33,ieee33_seed_31415,31415,9,7.493541800009552,84,920,100,800,100,100,3,3,138.26747691143908,3.0055372461562495
ieee33,ieee33_seed_31415,31415,10,8.142439800023567,81,1001,100,900,100,100,3,3,138.26747691143908,3.0055372461562495
ieee33,ieee33_seed_31415,31415,11,8.74048269999912,74,1075,100,1000,100,100,4,4,137.97384885633065,3.0055372461562495
ieee33,ieee33_seed_31415,31415,12,9.39366680002422,79,1154,100,1100,100,100,5,5,137.97384885633065,3.0026554406249994
ieee33,ieee33_seed_31415,31415,13,10.086930600024061,78,1232,100,1200,100,100,5,5,137.97384885633065,3.0026554406249994
ieee33,ieee33_seed_31415,31415,14,10.757821900013369,69,1301,100,1300,100,100,4,4,137.97384885633065,2.99902994334375
ieee33,ieee33_seed_31415,31415,15,11.541002700017998,76,1377,100,1400,100,100,4,4,137.97384885633065,2.99902994334375
ieee33,ieee33_seed_31415,31415,16,12.230342900002142,67,1444,100,1500,100,100,4,4,137.97384885633065,2.99902994334375
ieee33,ieee33_seed_31415,31415,17,12.890647899999749,72,1516,100,1600,100,100,5,5,137.97384885633065,2.99902994334375
ieee33,ieee33_seed_31415,31415,18,13.479274400015129,64,1580,100,1700,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_31415,31415,19,14.167245500022545,66,1646,100,1800,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_31415,31415,20,14.841128100000788,61,1707,100,1900,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_31415,31415,21,15.44272770002135,61,1768,100,2000,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,22,16.015936600015266,61,1829,100,2100,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,23,16.54264480000711,54,1883,100,2200,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,24,17.05880870000692,50,1933,100,2300,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,25,17.588283100019908,42,1975,100,2400,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,26,18.044824400014477,45,2020,100,2500,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,27,18.46535740001127,43,2063,100,2600,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,28,18.882009900000412,44,2107,100,2700,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,29,19.288171500025783,41,2148,100,2800,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,30,19.76092030000291,44,2192,100,2900,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,31,20.215904600016074,39,2231,100,3000,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,32,20.63875330000883,38,2269,100,3100,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,33,21.160387700016145,41,2310,100,3200,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,34,21.514783700025873,34,2344,100,3300,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,35,21.914373300009174,35,2379,100,3400,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,36,22.339007200003834,31,2410,100,3500,100,100,6,6,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,37,22.69455939999898,31,2441,100,3600,100,100,6,6,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,38,23.105687500006752,35,2476,100,3700,100,100,6,6,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,39,23.591253700025845,41,2517,100,3800,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,40,23.980721100000665,33,2550,100,3900,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,41,24.341103800019482,32,2582,100,4000,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,42,24.667017300002044,22,2604,100,4100,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,43,25.057429600012256,31,2635,100,4200,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,44,25.41943550002179,26,2661,100,4300,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,45,25.780582400009735,27,2688,100,4400,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,46,26.109505700005684,24,2712,100,4500,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,47,26.413287400006084,23,2735,100,4600,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,48,26.790417200012598,29,2764,100,4700,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,49,27.11472660000436,19,2783,100,4800,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,50,27.4098150000209,21,2804,100,4900,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,51,27.669257400004426,22,2826,100,5000,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,52,28.004069300019182,19,2845,100,5100,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,53,28.32776890002424,16,2861,100,5200,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,54,28.623024300002726,20,2881,100,5300,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,55,28.938906700001098,14,2895,100,5400,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,56,29.174201900023036,11,2906,100,5500,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,57,29.5399194000056,25,2931,100,5600,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,58,29.765522300003795,11,2942,100,5700,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,59,30.037532100017415,16,2958,100,5800,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,60,30.281238399998983,18,2976,100,5900,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,61,30.520068900019396,11,2987,100,6000,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,62,30.876085399999283,24,3011,100,6100,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,63,31.06526699999813,15,3026,100,6200,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,64,31.259157400025288,15,3041,100,6300,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,65,31.419893700018292,9,3050,100,6400,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,66,31.57959629999823,8,3058,100,6500,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,67,31.795445499999914,15,3073,100,6600,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,68,31.98364770002081,11,3084,100,6700,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_31415,31415,69,32.21954510000069,16,3100,100,6800,100,100,5,5,137.3403817568125,2.99902994334375
