case,run_id,seed,generation,elapsed_time_s,unique_evaluations_generation,unique_evaluations_cumulative,cache_hits_generation,cache_hits_cumulative,population_size,feasible_population_size,nondominated_size,archive_nondominated_size,best_loss,best_saidi
ieee33,ieee33_seed_1234,1234,1,1.9122247000050265,200,200,0,0,100,100,3,3,147.65729234045017,3.01567004625
ieee33,ieee33_seed_1234,1234,2,2.7282620000187308,96,296,100,100,100,100,4,4,144.19443323227145,3.01567004625
ieee33,ieee33_seed_1234,1234,3,3.4821953999926336,96,392,100,200,100,100,2,2,143.30968240796247,3.0120445489687495
ieee33,ieee33_seed_1234,1234,4,4.2354316000128165,86,478,100,300,100,100,2,2,143.30968240796247,3.0120445489687495
ieee33,ieee33_seed_1234,1234,5,4.95309460000135,89,567,100,400,100,100,2,2,143.30968240796247,3.0120445489687495
ieee33,ieee33_seed_1234,1234,6,5.730327800003579,92,659,100,500,100,100,3,3,141.2511858295152,2.99902994334375
ieee33,ieee33_seed_1234,1234,7,6.46007090000785,89,748,100,600,100,100,3,3,141.2511858295152,2.99902994334375
ieee33,ieee33_seed_1234,1234,8,7.104362400015816,83,831,100,700,100,100,5,5,138.79478955741902,2.99902994334375
ieee33,ieee33_seed_1234,1234,9,7.742143300012685,81,912,100,800,100,100,3,3,138.79478955741902,2.99902994334375
ieee33,ieee33_seed_1234,1234,10,8.402763599995524,85,997,100,900,100,100,4,4,138.79478955741902,2.99902994334375
ieee33,ieee33_seed_1234,1234,11,9.00795470000594,71,1068,100,1000,100,100,3,3,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_1234,1234,12,9.64001860001008,80,1148,100,1100,100,100,3,3,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_1234,1234,13,10.220261400012532,72,1220,100,1200,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_1234,1234,14,10.790869299991755,71,1291,100,1300,100,100,4,4,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_1234,1234,15,11.390484700008528,71,1362,100,1400,100,100,5,5,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_1234,1234,16,11.952244100015378,69,1431,100,1500,100,100,5,5,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_1234,1234,17,12.448712800018257,61,1492,100,1600,100,100,5,5,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_1234,1234,18,12.966817700013053,63,1555,100,1700,100,100,6,6,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_1234,1234,19,13.44647100000293,59,1614,100,1800,100,100,6,6,137.63400755669326,2.99902994334375
ieee33,ieee33_seed_1234,1234,20,13.959401700005401,64,1678,100,1900,100,100,7,7,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_1234,1234,21,14.446871499996632,59,1737,100,2000,100,100,7,7,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_1234,1234,22,14.87499189999653,50,1787,100,2100,100,100,7,7,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_1234,1234,23,15.300083000009181,51,1838,100,2200,100,100,7,7,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_1234,1234,24,15.688388700014912,46,1884,100,2300,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_1234,1234,25,16.13291380001465,49,1933,100,2400,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_1234,1234,26,16.563723400002345,52,1985,100,2500,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_1234,1234,27,16.92909220000729,43,2028,100,2600,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_1234,1234,28,17.33533980001812,47,2075,100,2700,100,100,5,5,137.3403817568125,2.99902994334375
